target_id	length	eff_length	est_counts	tpm
HORVU.MOREX.r2.1HG0000470.1	732	478.494	1049	49.0966
HORVU.MOREX.r2.1HG0000480.1	345	100.746	0	0
HORVU.MOREX.r2.1HG0000490.1	2349	2095.46	8.32861	0.0890113
HORVU.MOREX.r2.1HG0000500.1	1032	778.461	0	0
HORVU.MOREX.r2.1HG0000510.1	159	29.0707	0	0
HORVU.MOREX.r2.1HG0000520.1	918	664.461	0	0
HORVU.MOREX.r2.1HG0000530.1	309	75.7199	0	0
HORVU.MOREX.r2.1HG0000540.1	318	81.4745	0	0
HORVU.MOREX.r2.1HG0000550.1	408	156.5	0	0
HORVU.MOREX.r2.1HG0000560.1	333	91.7169	0	0
HORVU.MOREX.r2.1HG0000570.1	441	188.429	0	0
HORVU.MOREX.r2.1HG0000580.1	681	427.506	80	4.19083
HORVU.MOREX.r2.1HG0000590.1	3468	3214.46	17	0.118439
HORVU.MOREX.r2.1HG0000600.1	1026	772.461	0	0
HORVU.MOREX.r2.1HG0000610.1	1722	1468.46	0	0
HORVU.MOREX.r2.1HG0000620.1	1662	1408.46	0	0
HORVU.MOREX.r2.1HG0000630.1	207	38.9233	0	0
HORVU.MOREX.r2.1HG0000640.1	3138	2884.46	0	0
HORVU.MOREX.r2.1HG0000650.1	609	355.551	0	0
HORVU.MOREX.r2.1HG0000660.1	918	664.461	6	0.202225
HORVU.MOREX.r2.1HG0000670.1	585	331.582	215	14.5211
HORVU.MOREX.r2.1HG0000680.1	375	125.986	0	0
HORVU.MOREX.r2.1HG0000690.1	312	77.5916	2	0.577255
HORVU.MOREX.r2.1HG0000700.1	1644	1390.46	1707	27.4933
HORVU.MOREX.r2.1HG0000710.1	303	72.1709	0	0
HORVU.MOREX.r2.1HG0000720.1	2361	2107.46	6276	66.6923
HORVU.MOREX.r2.1HG0000730.1	2760	2506.46	1108	9.89991
HORVU.MOREX.r2.1HG0000740.1	699	445.494	381	19.153
HORVU.MOREX.r2.1HG0000750.1	1935	1681.46	0	0
HORVU.MOREX.r2.1HG0000760.1	264	54.4688	15	6.16731
HORVU.MOREX.r2.1HG0000770.1	1065	811.461	0	0
HORVU.MOREX.r2.1HG0000780.1	318	81.4745	2	0.549744
HORVU.MOREX.r2.1HG0000790.1	885	631.461	0	0
HORVU.MOREX.r2.1HG0000800.1	945	691.461	0	0
HORVU.MOREX.r2.1HG0000810.1	1167	913.461	0	0
HORVU.MOREX.r2.1HG0000820.1	750	496.494	0	0
HORVU.MOREX.r2.1HG0000830.1	315	79.4212	0	0
HORVU.MOREX.r2.1HG0000840.1	2319	2065.46	0	0
HORVU.MOREX.r2.1HG0000850.1	456	203.179	0	0
HORVU.MOREX.r2.1HG0000860.1	420	168.004	0	0
HORVU.MOREX.r2.1HG0000870.1	789	535.494	19	0.794606
HORVU.MOREX.r2.1HG0000880.1	627	373.518	71	4.25696
HORVU.MOREX.r2.1HG0000890.1	1122	868.461	7	0.18051
HORVU.MOREX.r2.1HG0000900.1	849	595.461	389.685	14.6559
HORVU.MOREX.r2.1HG0000910.1	1122	868.461	2	0.0515742
HORVU.MOREX.r2.1HG0000920.1	369	120.657	0	0
HORVU.MOREX.r2.1HG0000930.1	627	373.518	0	0
HORVU.MOREX.r2.1HG0000940.1	432	179.621	4	0.49872
HORVU.MOREX.r2.1HG0000950.1	933	679.461	4	0.13184
HORVU.MOREX.r2.1HG0000960.1	339	96.1691	1265	294.583
HORVU.MOREX.r2.1HG0000970.1	2055	1801.46	11	0.136748
HORVU.MOREX.r2.1HG0000980.1	528	274.705	31.9502	2.60472
HORVU.MOREX.r2.1HG0000990.1	561	307.6	0.5	0.0364029
HORVU.MOREX.r2.1HG0001000.1	417	165.108	0	0
HORVU.MOREX.r2.1HG0001010.1	969	715.461	0	0
HORVU.MOREX.r2.1HG0001020.1	549	295.646	1203	91.1268
HORVU.MOREX.r2.1HG0001030.1	1377	1123.46	896	17.8609
HORVU.MOREX.r2.1HG0001040.1	513	259.744	2	0.17244
HORVU.MOREX.r2.1HG0001050.1	1011	757.461	3	0.0886979
HORVU.MOREX.r2.1HG0001060.1	570	316.591	1	0.0707382
HORVU.MOREX.r2.1HG0001070.1	1665	1411.46	1	0.0158666
HORVU.MOREX.r2.1HG0001080.1	447	194.309	46.7771	5.3913
HORVU.MOREX.r2.1HG0001090.1	345	100.746	0	0
HORVU.MOREX.r2.1HG0001100.1	894	640.461	0	0
HORVU.MOREX.r2.1HG0001110.1	255	51.4733	0	0
HORVU.MOREX.r2.1HG0001120.1	1599	1345.46	0	0
HORVU.MOREX.r2.1HG0001130.1	858	604.461	0	0
HORVU.MOREX.r2.1HG0001140.1	840	586.461	0	0
HORVU.MOREX.r2.1HG0001150.1	882	628.461	0	0
HORVU.MOREX.r2.1HG0001160.1	2058	1804.46	0	0
HORVU.MOREX.r2.1HG0001170.1	480	226.882	0	0
HORVU.MOREX.r2.1HG0001180.1	384	134.023	0	0
HORVU.MOREX.r2.1HG0001190.1	1392	1138.46	0	0
HORVU.MOREX.r2.1HG0001200.1	570	316.591	0	0
HORVU.MOREX.r2.1HG0001210.1	423	170.877	0	0
HORVU.MOREX.r2.1HG0001220.1	885	631.461	0	0
HORVU.MOREX.r2.1HG0001230.1	324	85.4849	0	0
HORVU.MOREX.r2.1HG0001240.1	597	343.571	0	0
HORVU.MOREX.r2.1HG0001250.1	396	145.156	6	0.925699
HORVU.MOREX.r2.1HG0001260.1	315	79.4212	0	0
HORVU.MOREX.r2.1HG0001270.1	321	83.4344	0	0
HORVU.MOREX.r2.1HG0001280.1	357	110.412	0	0
HORVU.MOREX.r2.1HG0001290.1	513	259.744	0	0
HORVU.MOREX.r2.1HG0001300.1	693	439.494	0	0
HORVU.MOREX.r2.1HG0001310.1	324	85.4849	0	0
HORVU.MOREX.r2.1HG0001320.1	366	118.028	0	0
HORVU.MOREX.r2.1HG0001330.1	426	173.774	0	0
HORVU.MOREX.r2.1HG0001340.1	1437	1183.46	0	0
HORVU.MOREX.r2.1HG0001350.1	1431	1177.46	0	0
HORVU.MOREX.r2.1HG0001360.1	417	165.108	0	0
HORVU.MOREX.r2.1HG0001370.1	279	60.1882	0	0
HORVU.MOREX.r2.1HG0001380.1	1425	1171.46	0	0
HORVU.MOREX.r2.1HG0001390.1	1431	1177.46	0	0
HORVU.MOREX.r2.1HG0001400.1	1920	1666.46	0	0
HORVU.MOREX.r2.1HG0001410.1	2079	1825.46	0	0
HORVU.MOREX.r2.1HG0001420.1	246	48.9035	0	0
HORVU.MOREX.r2.1HG0001430.1	1893	1639.46	0	0
HORVU.MOREX.r2.1HG0001440.1	2097	1843.46	0	0
HORVU.MOREX.r2.1HG0001450.1	813	559.461	0	0
HORVU.MOREX.r2.1HG0001460.1	1320	1066.46	0	0
HORVU.MOREX.r2.1HG0001470.1	1461	1207.46	0	0
HORVU.MOREX.r2.1HG0001480.1	1506	1252.46	0	0
HORVU.MOREX.r2.1HG0001490.1	411	159.415	0	0
HORVU.MOREX.r2.1HG0001500.1	1107	853.461	1	0.0262403
HORVU.MOREX.r2.1HG0001510.1	411	159.415	0	0
HORVU.MOREX.r2.1HG0001520.1	1104	850.461	0	0
HORVU.MOREX.r2.1HG0001530.1	2724	2470.46	207	1.87648
HORVU.MOREX.r2.1HG0001540.1	1134	880.461	3334	84.8024
HORVU.MOREX.r2.1HG0001550.1	708	454.494	994	48.9791
HORVU.MOREX.r2.1HG0001560.1	1779	1525.46	15	0.220213
HORVU.MOREX.r2.1HG0001570.1	210	39.5328	12	6.79792
HORVU.MOREX.r2.1HG0001580.1	1368	1114.46	0	0
HORVU.MOREX.r2.1HG0001590.1	1497	1243.46	0	0
HORVU.MOREX.r2.1HG0001600.1	516	262.728	0	0
HORVU.MOREX.r2.1HG0001610.1	3738	3484.46	0	0
HORVU.MOREX.r2.1HG0001620.1	1302	1048.46	0	0
HORVU.MOREX.r2.1HG0001630.1	2004	1750.46	0	0
HORVU.MOREX.r2.1HG0001640.1	1095	841.461	616	16.3945
HORVU.MOREX.r2.1HG0001650.1	2970	2716.46	0	0
HORVU.MOREX.r2.1HG0001660.1	399	147.979	0	0
HORVU.MOREX.r2.1HG0001670.1	375	125.986	0	0
HORVU.MOREX.r2.1HG0001680.1	333	91.7169	0	0
HORVU.MOREX.r2.1HG0001690.1	1269	1015.46	138	3.04347
HORVU.MOREX.r2.1HG0001700.1	348	103.069	119	25.8565
HORVU.MOREX.r2.1HG0001710.1	498	244.797	1206	110.33
HORVU.MOREX.r2.1HG0001720.1	1158	904.461	1545	38.2553
HORVU.MOREX.r2.1HG0001730.1	2055	1801.46	43	0.53456
HORVU.MOREX.r2.1HG0001740.1	714	460.494	0	0
HORVU.MOREX.r2.1HG0001750.1	1737	1483.46	0	0
HORVU.MOREX.r2.1HG0001760.1	2049	1795.46	0	0
HORVU.MOREX.r2.1HG0001770.1	540	286.663	3	0.23437
HORVU.MOREX.r2.1HG0001780.1	945	691.461	3	0.0971642
HORVU.MOREX.r2.1HG0001790.1	4257	4003.46	0	0
HORVU.MOREX.r2.1HG0001800.1	600	346.571	0	0
HORVU.MOREX.r2.1HG0001810.1	255	51.4733	0	0
HORVU.MOREX.r2.1HG0001820.1	3489	3235.46	0	0
HORVU.MOREX.r2.1HG0001830.1	552	298.646	0	0
HORVU.MOREX.r2.1HG0001840.1	1212	958.461	0	0
HORVU.MOREX.r2.1HG0001850.1	1011	757.461	0	0
HORVU.MOREX.r2.1HG0001860.1	1017	763.461	0	0
HORVU.MOREX.r2.1HG0001870.1	2820	2566.46	390	3.40316
HORVU.MOREX.r2.1HG0001880.1	912	658.461	2	0.0680225
HORVU.MOREX.r2.1HG0001890.1	1263	1009.46	3	0.0665555
HORVU.MOREX.r2.1HG0001900.1	2493	2239.46	6357	63.5713
HORVU.MOREX.r2.1HG0001910.1	957	703.461	590	18.783
HORVU.MOREX.r2.1HG0001920.1	306	73.8889	440	133.36
HORVU.MOREX.r2.1HG0001930.1	306	73.8889	0	0
HORVU.MOREX.r2.1HG0001940.1	849	595.461	357	13.4266
HORVU.MOREX.r2.1HG0001950.1	1161	907.461	0	0
HORVU.MOREX.r2.1HG0001960.1	1251	997.461	1.07354	0.0241032
HORVU.MOREX.r2.1HG0001970.1	1143	889.461	0	0
HORVU.MOREX.r2.1HG0001980.1	849	595.461	284	10.6811
HORVU.MOREX.r2.1HG0001990.1	255	51.4733	2	0.870163
HORVU.MOREX.r2.1HG0002000.1	303	72.1709	0	0
HORVU.MOREX.r2.1HG0002010.1	648	394.506	2	0.113535
HORVU.MOREX.r2.1HG0002020.1	3312	3058.46	2104	15.4062
HORVU.MOREX.r2.1HG0002030.1	369	120.657	0	0
HORVU.MOREX.r2.1HG0002040.1	315	79.4212	537	151.423
HORVU.MOREX.r2.1HG0002050.1	1569	1315.46	107	1.82162
HORVU.MOREX.r2.1HG0002060.1	336	93.928	5	1.19214
HORVU.MOREX.r2.1HG0002070.1	252	50.5626	3773	1671.13
HORVU.MOREX.r2.1HG0002080.1	303	72.1709	1	0.310306
HORVU.MOREX.r2.1HG0002090.1	1833	1579.46	9	0.12761
HORVU.MOREX.r2.1HG0002100.1	1167	913.461	0	0
HORVU.MOREX.r2.1HG0002110.1	234	45.606	0	0
HORVU.MOREX.r2.1HG0002120.1	921	667.461	0	0
HORVU.MOREX.r2.1HG0002130.1	495	241.812	0	0
HORVU.MOREX.r2.1HG0002140.1	2511	2257.46	0	0
HORVU.MOREX.r2.1HG0002150.1	1089	835.461	0	0
HORVU.MOREX.r2.1HG0002160.1	1323	1069.46	0	0
HORVU.MOREX.r2.1HG0002170.1	333	91.7169	96	23.4409
HORVU.MOREX.r2.1HG0002180.1	1599	1345.46	1260	20.9726
HORVU.MOREX.r2.1HG0002190.1	615	361.54	493	30.5382
HORVU.MOREX.r2.1HG0002200.1	678	424.506	491	25.903
HORVU.MOREX.r2.1HG0002210.1	1089	835.461	6	0.160834
HORVU.MOREX.r2.1HG0002220.1	285	62.7646	0	0
HORVU.MOREX.r2.1HG0002230.1	1200	946.461	0	0
HORVU.MOREX.r2.1HG0002240.1	642	388.518	0	0
HORVU.MOREX.r2.1HG0002250.1	678	424.506	0	0
HORVU.MOREX.r2.1HG0002260.1	198	36.8427	0	0
HORVU.MOREX.r2.1HG0002270.1	237	46.4585	3	1.44613
HORVU.MOREX.r2.1HG0002280.1	237	46.4585	101.999	49.168
HORVU.MOREX.r2.1HG0002290.1	615	361.54	44.6553	2.76611
HORVU.MOREX.r2.1HG0002300.1	237	46.4585	101.999	49.168
HORVU.MOREX.r2.1HG0002310.1	2157	1903.46	24.6895	0.290483
HORVU.MOREX.r2.1HG0002320.1	552	298.646	1	0.0749887
HORVU.MOREX.r2.1HG0002330.1	1296	1042.46	649	13.9424
HORVU.MOREX.r2.1HG0002340.1	597	343.571	2	0.130366
HORVU.MOREX.r2.1HG0002350.1	1233	979.461	835	19.092
HORVU.MOREX.r2.1HG0002360.1	366	118.028	0	0
HORVU.MOREX.r2.1HG0002370.1	1146	892.461	0	0
HORVU.MOREX.r2.1HG0002380.1	756	502.494	0	0
HORVU.MOREX.r2.1HG0002390.1	2358	2104.46	0	0
HORVU.MOREX.r2.1HG0002400.1	198	36.8427	0.5	0.303928
HORVU.MOREX.r2.1HG0002410.1	2511	2257.46	0	0
HORVU.MOREX.r2.1HG0002420.1	360	112.92	0	0
HORVU.MOREX.r2.1HG0002430.1	2340	2086.46	0	0
HORVU.MOREX.r2.1HG0002440.1	390	139.568	0	0
HORVU.MOREX.r2.1HG0002450.1	312	77.5916	0	0
HORVU.MOREX.r2.1HG0002460.1	699	445.494	0	0
HORVU.MOREX.r2.1HG0002470.1	315	79.4212	0	0
HORVU.MOREX.r2.1HG0002480.1	438	185.484	0	0
HORVU.MOREX.r2.1HG0002490.1	1053	799.461	0	0
HORVU.MOREX.r2.1HG0002500.1	273	57.8942	0	0
HORVU.MOREX.r2.1HG0002510.1	1413	1159.46	0	0
HORVU.MOREX.r2.1HG0002520.1	1563	1309.46	0	0
HORVU.MOREX.r2.1HG0002530.1	1488	1234.46	2	0.0362832
HORVU.MOREX.r2.1HG0002540.1	1506	1252.46	13	0.232451
HORVU.MOREX.r2.1HG0002550.1	798	544.494	0	0
HORVU.MOREX.r2.1HG0002560.1	2073	1819.46	0	0
HORVU.MOREX.r2.1HG0002570.1	1905	1651.46	0	0
HORVU.MOREX.r2.1HG0002580.1	1905	1651.46	0	0
HORVU.MOREX.r2.1HG0002590.1	399	147.979	107	16.1933
HORVU.MOREX.r2.1HG0002600.1	3768	3514.46	0	0
HORVU.MOREX.r2.1HG0002610.1	3189	2935.46	2.33571	0.0178195
HORVU.MOREX.r2.1HG0002620.1	3549	3295.46	196	1.33196
HORVU.MOREX.r2.1HG0002630.1	1047	793.461	0	0
HORVU.MOREX.r2.1HG0002640.1	1680	1426.46	18	0.282595
HORVU.MOREX.r2.1HG0002650.1	762	508.494	0	0
HORVU.MOREX.r2.1HG0002660.1	432	179.621	0	0
HORVU.MOREX.r2.1HG0002670.1	1134	880.461	0	0
HORVU.MOREX.r2.1HG0002680.1	1824	1570.46	0	0
HORVU.MOREX.r2.1HG0002690.1	522	268.713	0	0
HORVU.MOREX.r2.1HG0002700.1	3216	2962.46	4.66429	0.0352602
HORVU.MOREX.r2.1HG0002710.1	405	153.607	0	0
HORVU.MOREX.r2.1HG0002720.1	387	136.793	10	1.63715
HORVU.MOREX.r2.1HG0002730.1	3177	2923.46	0	0
HORVU.MOREX.r2.1HG0002740.1	498	244.797	0	0
HORVU.MOREX.r2.1HG0002750.1	1263	1009.46	230	5.10259
HORVU.MOREX.r2.1HG0002760.1	1827	1573.46	0	0
HORVU.MOREX.r2.1HG0002770.1	2493	2239.46	0	0
HORVU.MOREX.r2.1HG0002780.1	1128	874.461	0	0
HORVU.MOREX.r2.1HG0002790.1	1515	1261.46	0	0
HORVU.MOREX.r2.1HG0002800.1	1839	1585.46	0	0
HORVU.MOREX.r2.1HG0002810.1	366	118.028	0	0
HORVU.MOREX.r2.1HG0002820.1	1977	1723.46	0	0
HORVU.MOREX.r2.1HG0002830.1	1209	955.461	0	0
HORVU.MOREX.r2.1HG0002840.1	3984	3730.46	659	3.95617
HORVU.MOREX.r2.1HG0002850.1	2052	1798.46	38	0.473189
HORVU.MOREX.r2.1HG0002860.1	1119	865.461	840	21.7362
HORVU.MOREX.r2.1HG0002870.1	1248	994.461	10	0.225198
HORVU.MOREX.r2.1HG0002880.1	1599	1345.46	0	0
HORVU.MOREX.r2.1HG0002890.1	477	223.902	0	0
HORVU.MOREX.r2.1HG0002900.1	669	415.506	0	0
HORVU.MOREX.r2.1HG0002910.1	1332	1078.46	0	0
HORVU.MOREX.r2.1HG0002920.1	552	298.646	0	0
HORVU.MOREX.r2.1HG0002930.1	225	43.2676	0	0
HORVU.MOREX.r2.1HG0002940.1	1059	805.461	0	0
HORVU.MOREX.r2.1HG0002950.1	327	87.5523	4	1.02316
HORVU.MOREX.r2.1HG0002960.1	486	232.868	3.6566	0.351657
HORVU.MOREX.r2.1HG0002970.1	1437	1183.46	0	0
HORVU.MOREX.r2.1HG0002980.1	681	427.506	0	0
HORVU.MOREX.r2.1HG0002990.1	705	451.494	0	0
HORVU.MOREX.r2.1HG0003000.1	486	232.868	0	0
HORVU.MOREX.r2.1HG0003010.1	321	83.4344	1173	314.851
HORVU.MOREX.r2.1HG0003020.1	348	103.069	0	0
HORVU.MOREX.r2.1HG0003030.1	534	280.671	543	43.3265
HORVU.MOREX.r2.1HG0003040.1	657	403.506	459	25.475
HORVU.MOREX.r2.1HG0003050.1	1500	1246.46	144	2.58724
HORVU.MOREX.r2.1HG0003060.1	198	36.8427	0	0
HORVU.MOREX.r2.1HG0003070.1	825	571.461	1214	47.5756
HORVU.MOREX.r2.1HG0003080.1	1206	952.461	146	3.43288
HORVU.MOREX.r2.1HG0003090.1	1422	1168.46	0	0
HORVU.MOREX.r2.1HG0003100.1	609	355.551	0	0
HORVU.MOREX.r2.1HG0003110.1	225	43.2676	0	0
HORVU.MOREX.r2.1HG0003120.1	459	206.112	0	0
HORVU.MOREX.r2.1HG0003130.1	1428	1174.46	0	0
HORVU.MOREX.r2.1HG0003140.1	378	128.582	0	0
HORVU.MOREX.r2.1HG0003150.1	1095	841.461	0	0
HORVU.MOREX.r2.1HG0003160.1	438	185.484	0	0
HORVU.MOREX.r2.1HG0003170.1	303	72.1709	7	2.17214
HORVU.MOREX.r2.1HG0003180.1	1383	1129.46	7	0.138797
HORVU.MOREX.r2.1HG0003190.1	1602	1348.46	0	0
HORVU.MOREX.r2.1HG0003200.1	1095	841.461	0	0
HORVU.MOREX.r2.1HG0003210.1	1842	1588.46	118	1.66363
HORVU.MOREX.r2.1HG0003220.1	1878	1624.46	77	1.06153
HORVU.MOREX.r2.1HG0003230.1	366	118.028	0	0
HORVU.MOREX.r2.1HG0003240.1	468	214.954	1	0.104185
HORVU.MOREX.r2.1HG0003250.1	390	139.568	64.7676	10.3926
HORVU.MOREX.r2.1HG0003260.1	264	54.4688	0	0
HORVU.MOREX.r2.1HG0003270.1	213	40.4089	307	170.143
HORVU.MOREX.r2.1HG0003280.1	1056	802.461	13	0.362804
HORVU.MOREX.r2.1HG0003290.1	2730	2476.46	477	4.3136
HORVU.MOREX.r2.1HG0003300.1	1119	865.461	0	0
HORVU.MOREX.r2.1HG0003310.1	1101	847.461	0	0
HORVU.MOREX.r2.1HG0003320.1	210	39.5328	0	0
HORVU.MOREX.r2.1HG0003330.1	1095	841.461	0	0
HORVU.MOREX.r2.1HG0003340.1	225	43.2676	984.165	509.398
HORVU.MOREX.r2.1HG0003350.1	225	43.2676	248	128.363
HORVU.MOREX.r2.1HG0003360.1	2757	2503.46	0	0
HORVU.MOREX.r2.1HG0003370.1	219	42.0496	0	0
HORVU.MOREX.r2.1HG0003380.1	255	51.4733	7	3.04557
HORVU.MOREX.r2.1HG0003390.1	360	112.92	0	0
HORVU.MOREX.r2.1HG0003400.1	2139	1885.46	22	0.261311
HORVU.MOREX.r2.1HG0003410.1	630	376.518	165	9.8141
HORVU.MOREX.r2.1HG0003420.1	2316	2062.46	2	0.0217168
HORVU.MOREX.r2.1HG0003430.1	3861	3607.46	0	0
HORVU.MOREX.r2.1HG0003440.1	300	70.5627	0	0
HORVU.MOREX.r2.1HG0003450.1	483	229.875	23	2.24072
HORVU.MOREX.r2.1HG0003460.1	846	592.461	21	0.793802
HORVU.MOREX.r2.1HG0003470.1	2178	1924.46	2	0.0232741
HORVU.MOREX.r2.1HG0003480.1	2643	2389.46	434	4.06764
HORVU.MOREX.r2.1HG0003490.1	291	65.8766	0	0
HORVU.MOREX.r2.1HG0003500.1	2295	2041.46	362	3.97118
HORVU.MOREX.r2.1HG0003510.1	429	176.711	0	0
HORVU.MOREX.r2.1HG0003520.1	354	107.93	0	0
HORVU.MOREX.r2.1HG0003530.1	1986	1732.46	0	0
HORVU.MOREX.r2.1HG0003540.1	834	580.461	0	0
HORVU.MOREX.r2.1HG0003550.1	216	41.3017	0	0
HORVU.MOREX.r2.1HG0003560.1	774	520.494	0	0
HORVU.MOREX.r2.1HG0003570.1	954	700.461	0	0
HORVU.MOREX.r2.1HG0003580.1	1341	1087.46	0	0
HORVU.MOREX.r2.1HG0003590.1	366	118.028	0	0
HORVU.MOREX.r2.1HG0003600.1	873	619.461	161	5.82056
HORVU.MOREX.r2.1HG0003610.1	225	43.2676	0	0
HORVU.MOREX.r2.1HG0003620.1	393	142.338	22	3.46143
HORVU.MOREX.r2.1HG0003630.1	1206	952.461	76	1.78698
HORVU.MOREX.r2.1HG0003640.1	336	93.928	16	3.81485
HORVU.MOREX.r2.1HG0003650.1	498	244.797	457	41.8083
HORVU.MOREX.r2.1HG0003660.1	1047	793.461	0	0
HORVU.MOREX.r2.1HG0003670.1	462	209.081	0	0
HORVU.MOREX.r2.1HG0003680.1	510	256.767	0	0
HORVU.MOREX.r2.1HG0003690.1	660	406.506	0	0
HORVU.MOREX.r2.1HG0003700.1	234	45.606	0	0
HORVU.MOREX.r2.1HG0003710.1	1728	1474.46	0	0
HORVU.MOREX.r2.1HG0003720.1	561	307.6	3.76906	0.274409
HORVU.MOREX.r2.1HG0003730.1	771	517.494	0	0
HORVU.MOREX.r2.1HG0003740.1	1827	1573.46	909	12.9378
HORVU.MOREX.r2.1HG0003750.1	417	165.108	568	77.0428
HORVU.MOREX.r2.1HG0003760.1	1275	1021.46	498	10.9184
HORVU.MOREX.r2.1HG0003770.1	846	592.461	77	2.91061
HORVU.MOREX.r2.1HG0003780.1	405	153.607	0	0
HORVU.MOREX.r2.1HG0003790.1	1038	784.461	0	0
HORVU.MOREX.r2.1HG0003800.1	1152	898.461	0	0
HORVU.MOREX.r2.1HG0003810.1	792	538.494	0	0
HORVU.MOREX.r2.1HG0003820.1	462	209.081	0	0
HORVU.MOREX.r2.1HG0003830.1	1908	1654.46	0	0
HORVU.MOREX.r2.1HG0003840.1	429	176.711	0	0
HORVU.MOREX.r2.1HG0003850.1	1266	1012.46	0	0
HORVU.MOREX.r2.1HG0003860.1	1044	790.461	1	0.0283317
HORVU.MOREX.r2.1HG0003870.1	1221	967.461	261	6.04171
HORVU.MOREX.r2.1HG0003880.1	567	313.591	0	0
HORVU.MOREX.r2.1HG0003890.1	534	280.671	0	0
HORVU.MOREX.r2.1HG0003900.1	414	162.255	0	0
HORVU.MOREX.r2.1HG0003910.1	1725	1471.46	0	0
HORVU.MOREX.r2.1HG0003920.1	2382	2128.46	6	0.0631303
HORVU.MOREX.r2.1HG0003930.1	378	128.582	0	0
HORVU.MOREX.r2.1HG0003940.1	714	460.494	0	0
HORVU.MOREX.r2.1HG0003950.1	2856	2602.46	0	0
HORVU.MOREX.r2.1HG0003960.1	414	162.255	0	0
HORVU.MOREX.r2.1HG0003970.1	2820	2566.46	0	0
HORVU.MOREX.r2.1HG0003980.1	1191	937.461	0	0
HORVU.MOREX.r2.1HG0003990.1	1104	850.461	0	0
HORVU.MOREX.r2.1HG0004000.1	1191	937.461	0	0
HORVU.MOREX.r2.1HG0004010.1	1545	1291.46	0	0
HORVU.MOREX.r2.1HG0004020.1	1125	871.461	0	0
HORVU.MOREX.r2.1HG0004030.1	402	150.831	0	0
HORVU.MOREX.r2.1HG0004040.1	1428	1174.46	8	0.152547
HORVU.MOREX.r2.1HG0004050.1	3084	2830.46	447	3.53674
HORVU.MOREX.r2.1HG0004060.1	1032	778.461	386	11.1046
HORVU.MOREX.r2.1HG0004070.1	975	721.461	1878	58.2955
